,Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Writing.Credits,Lyrics,Features
547,Chase Rice,Eyes On You,54,38,14,6/1/19,13-Oct-17,Country,"Chase rice, Ashley gorley, Chris destefano","Eyes on You 
We've been to both Carolinas
Seen a big Montana sky
Driven up and down a coast a few times
London, Paris, paradise
But ain't got much memory of the scenes
Come to think, I miss them all
And damn, babe, it's all your fault
No matter where we go
No matter what we do
If you're there, girl, I've got my eyes on you
Don't matter where we've been
No, there ain't no better view
Than you in my arms with my eyes on you
With my eyes on you With my eyes on you, with my
With my eyes on you With my eyes on you, with my
Speaking of the coast, remember Pfeiffer beach?
You and me, that sunset, cliffs by the sea
And the night rolled in
And you still talk about that moon that I can't recall
But God, I saw all I needed to
Might as well have stayed in the room
No matter where we go
No matter what we do
If you're there, girl, I've got my eyes on you
Don't matter where we've been
No, there ain't no better view
Than you in my arms with my eyes on you
With my eyes on you, yeah With my eyes on you, with my
Yeah, with my eyes on you With my eyes on you, with my
Don't you remember Times Square?
And people counting down everywhere
2000-whatever, no, I didn't care
'Cause baby you were there
And once again, couldn't help but stare
No matter where we go
No matter what we do
If you're there, girl, I've got my eyes on you
Don't matter where we've been
No, there ain't no better view
Than you in my arms with my eyes on you
Halfway around the world
Or the local corner booth
Yeah, you guessed it, girl
You know I got my eyes on you
We could be on any street
Any party, any room
I'll be there all night with my eyes on you
Don't matter where we've been
No, there ain't no better view
Than you in my arms with my eyes on you
",
548,Billie Eilish,Bury A Friend,55,14,17,6/1/19,30-Jan-19,"Trap,Alternative,Dark Pop,Industrial,Alternative Pop,Electronica,Pop","Billie eilish, Finneas","bury a friend 
Billie
What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?
Come here
Say it, spit it out, what is it exactly
You're payin'? Is the amount cleaning you out? Am I satisfactory?
Today, I'm thinking about the things that are deadly
The way I'm drinking you down
Like I wanna drown, like I wanna end me
Step on the glass, staple your tongue Ahh
Bury a friend, try to wake up Ah-ahh
Cannibal class, killing the son Ahh
Bury a friend, I wanna end me
I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…
What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?
Listen
Keep you in the dark, what had you expected?
Me to make you my art and make you a star
And get you connected?
I'll meet you in the park, I'll be calm and collected
But we knew right from the start that you'd fall apart
'Cause I'm too expensive
It's probably something that shouldn't be said out loud
Honestly, I thought that I would be dead by now Wow
Calling security, keeping my head held down
Bury the hatchet or bury a friend right now
The debt I owe, gotta sell my soul
'Cause I can't say no, no, I can't say no
Then my limbs all froze and my eyes won't close
And I can't say no, I can't say no
Careful
Step on the glass, staple your tongue Ahh
Bury a friend, try to wake up Ah-ahh
Cannibal class, killing the son Ahh
Bury a friend, I wanna end me
I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…
What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?
",
549,Offset,Clout,56,39,7,6/1/19,22-Feb-19,"East Coast,Motown,Rap","Tim gomringer, Kevin gomringer, Offset","Clout 
Diamonds on fleek
Bitch, I ain't talking about the heat, oh
Put it on, streets
We straight out the streets
We straight out the streets
Straight out the streets to a penthouse
Straight out the streets to a penthouse, Miami beach Yayo
Niggas talk crazy on tweets Who
They don't want it cause I come to defeat They don't wanna
I peep, these niggas all sweet Weak
Bamboo sticks all in the Jeep Brr, brr
There's a new weirdo every week Weirdo
Get the whip, put it up for my seats Put it up
No cure for the IG disease No cure
Do anything for clout Anything
They do anything for clout Anything
Do anything for clout Anything
They do anything for clout Clout
Do anything for clout Clout, do this, woo woo
They do anything for clout Anything
Do anything for clout Hey
Bitch, watch your mouth Watch it
Bitch, stay in your place Place
Bitch, get out the way Move
My bitch on your ass, Kim K Yeah
No disrespect Nah
The nigga be tripping, but we love Ye He tripping
Swapping our cars with my bitch
I bought her the Lambo she bought me the Wraith Swappin'
Practice, practice, practice make perfect
Nigga, it's never too late Never, never, never
I took the ssss outta the snake I took the soul out the snake
Then I take the bills up out of the bank Racks
The blog and the media fake They fake
Shorty DM me, I'm straight I'm straight
I'm not gon' bite on the bait Nah
Sipping on toxic waste Mud
On the low with your bitch and it's great On the low
Mask on her face, Jason
Run to the set, we in shape shape
If I go broke she gon' leave, escape She gon'
I put two mill' in the safe just in case, don't go my way no cap
My kids gotta have money, not just me Facts
That's selfish It's selfish
Oh, I took the crown off the king like Mike did Elvis Oh, I took it
Ooh, the world is wild, he dying
Don't lie, that don't help him World is wild
Ooh, your bitch want to eat up the drip, and you cannot help it
Straight out the streets to a penthouse, Miami beach Yayo
Niggas talk crazy on tweets Who
They don't want it cause I come to defeat They don't wanna
I peep, these niggas all sweet Weak
Bamboo sticks all in the Jeep Brr, brr
There's a new weirdo every week Weirdo
Get the whip, put it up for my seeds Put it up
No cure for the IG disease No cure
Do anything for clout Anything
They do anything for clout Anything
Do anything for clout Anything
They do anything for clout Clout
Do anything for clout Clout, do this, woo woo
They do anything for clout Anything
Do anything for clout Hey
Look, whole lotta people need to hear this Facts
It's a lotta names on my hit list Bap, bap
Mouth still say what it wants to Woo
Pussy still wet like a big bitch Facts, facts
I should run a whole blog at this rate Phew
They using my name for clickbait Clickbait
Bitches even wanna start fake beef Fake beef
To sell their little weave and a mixtape
They know I'm the bomb, they ticking me off
Saying anything to get a response
I know that mean they traffic is low
Somebody just gotta practice to launch
So fuck being tamed, I'd rather be wild
Bitches is Brandy, they wanna be down
Soon as these bitches got something to sell
They say my name, say my name, Destiny Child
Everybody wanna be lit, everybody wanna be rich
Everybody wanna be this, if I was you, I'd hate me bitch
Free my Primes, nigga, suck my dick
All of that talk and I'm calling it out
Public opinions from private accounts
You not a check, then you gotta bounce
I got the drip, come get an ounce
They do anything for clout Clout
Do anything for clout Whoo
Bitches is mad, bitches is trash Errr
Oscar the Grouch Grouch
Seeing me win, they gotta hurt
Ooh, ooh, ouch
Said when they see me, what they gon' do?
Bitch, not from the couch, bah
Do anything for clout Anything
They do anything for clout Anything
Do anything for clout Anything
They do anything for clout Clout
Do anything for clout Clout, do this, woo woo
They do anything for clout Anything
Do anything for clout
",Cardi B
550,DJ Khaled,Jealous,57,NA,NA,6/1/19,17-May-19,"Rap,R&;B","Roger ball, Denisia andrews songs, Chris brown, James stewart, Owen mcintyre, Alan gorrie, Stephen ferrone, Malcolm duncan, Diana king, Kingsley gardner, Brittany coney, Blu june, Tay keith, Dj khaled, Lil wayne, Big sean","Jealous 
Tay Keith Tay Keith
Jealous, jealous
We The Best Music
Oh, oh, oh
They don't want us together, gether
Another one
You need somebody, babe, you need somebody, babe
DJ Khaled
I pick you up in my ride
Make sure you waiting outside when I pull up
I told my niggas I can't slide No, no
Just to be right by your side
I could've been anywhere, but I'm right here
I want you all to myself
I grab your hips and I
Tell you you're the one for me Yup
Tell you I got all I need
'Cause I want your body Your body, yeah, yeah
All over my body Body
And I know that they hatin', they say I'm no good
But I know that they watching No, no
Girl, I can tell you need some love in your life Let's ride
And I'm the one, don't let no one change your mind
Fuck what they say Fuck em
Girl, they just jealous, jealous, jealous Let's go
Don't want us together, gether, gether
Girl, they just jealous, jealous, jealous
Don't want us together, gether, gether
Girl, they just jealous, jealous, jealous
Don't want us together, gether, gether
Girl, they just jealous, jealous, jealous Yeah, yeah, yeah
Don't want us together, gether, gether
You mad or you jealous, you sad or you settle
The brighter the rainbow, the badder the weather
The good with the bad, but the badder the better
Bring my sand to the beach, nigga, and to the desert
We fell from the heavens, we landed like feathers
The rose in the rubble, keep your nose out our petals
Your hoes know my schedule, and my hoes know I'm special
They know not to question, bitch, you know I'm not Alexa
She, she post a pic of me and her from off her iPad
You know them hoes don't like that, where the likes at?
Jealousy is a disease, you can die mad
Tunechi, Sean, CB, Khaled, hi there Yeah, yeah, yeah
But girl, I can tell you need some love in your life Mulah,
Let's ride
And I'm the one, don't let no one change your mind Oh, na, na, na
Fuck what they say Fuck em
Girl, they just jealous, jealous, jealous Let's go
Don't want us together, gether, gether
Girl, they just jealous, jealous, jealous Oh, oh, woah
Don't want us together, gether, gether Oh, oh, girl, they just
Girl, they just jealous, jealous, jealous Woah
Don't want us together, gether, gether Woah
Girl, they just jealous, jealous, jealous Jealous
Don't want us together, gether, gether Together
Dawg, it's these jealous ass hoes I can't relate to
The type to follow you but hardly follow through
You say I'm on your mind, I'm wondering why I'm not on you
Girl, you're fresh out the shower
Towel around your head like you're Erykah Badu
It's looking like a spa day
I rearrange your chakras, listening to Sade
Let's take a road trip and get high on the highway Swerve, swerve
Migrate, spend time, lay back, watch the sky change, woah
And I hear the jealousy, but look, I never listen
The quickest way to let something die is lack of attention Straight up
And you got it all, you looking good as my intentions Damn
We on an ascension, straight up
But girl, I can tell you need some love in your life Let's ride
And I'm the one, don't let no one change your mind Oh
Fuck what they say Fuck em
Girl, they just jealous, jealous, jealous Let's go
Don't want us together, gether, gether
Girl, they just jealous, jealous, jealous Oh, oh, woah
Don't want us together, gether, gether Oh, oh, girl, they just
Girl, they just jealous, jealous, jealous Woah
Don't want us together, gether, gether Woah
Girl, they just jealous, jealous, jealous Jealous
Don't want us together, gether, gether Together
These boys scared I'ma take they chick They chick
Must be the money, cause a young boy rich Real rich
You could drop a dime, but I make it make sense
Girl, you coming home with me
You the last number on my call list Call list
Pull up on me, girl, let's get lit Get lit
I think I hit a lick
I think I hit a lick, yeah Another one
Girl, they just jealous, jealous, jealous Jealous, let's go
Don't want us together, gether, gether No, they don't want us
Girl, they just jealous, jealous, jealous Jealous
Don't want us together, gether, gether Together
Girl, they just jealous, jealous, jealous Oh, no, they don't
Don't want us together, gether, gether No-woah, no-woah, no
Girl, they just jealous, jealous, jealous Don't want us together
Don't want us together, gether, gether Don't want us together
We The Best Music
They jealous
They don't want us together
They played themselves Played themselves
Baby, I got an idea
Let's be together forever Forever
I think I hit a lick, yeah, yeah
","Chris Brown, Lil Wayne, Big Sean"
551,P!nk,Walk Me Home,58,49,12,6/1/19,20-Feb-19,Pop,"P nk, Scott harris, Nate ruess","Walk Me Home 
There's something in the way you roll your eyes
Takes me back to a better time
When I saw everything is good
But now you're the only thing that's good
Tryna stand up on my own two feet
This conversation ain't coming easily
And darlin', I know it's getting late
So what do you say we leave this place?
Walk me home in the dead of night
I can't be alone with all that's on my mind, mhm
So say you'll stay with me tonight
'Cause there is so much wrong going on outside
There's something in the way I wanna cry
That makes me think we'll make it out alive
So come on and show me how we're good
I think that we could do some good, mhm
Walk me home in the dead of night
I can't be alone with all that's on my mind, mhm
So say you'll stay with me tonight
'Cause there is so much wrong going on outside
Ooh-ooh, ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh
Walk me home in the dead of night
'Cause I can't be alone with all that's on my mind
Say you'll stay with me tonight
'Cause there is so much wrong going on
Walk me home in the dead of night
I can't be alone with all that's on my mind
So say you'll stay with me tonight
'Cause there is so much wrong, there is so much wrong
There is so much wrong going on outside
",
552,Lil Baby,Close Friends,59,28,30,6/1/19,5-Oct-18,"Atlanta,Motown,Trap,Rap","Lil baby, Turbo","Close Friends 
Oh, this the one right here, Wicked?
Okay
Yeah, yeah
Run that back, Turbo
We started off as close friends Close friends
Somehow you turned into my girlfriend My girlfriend
We used to tell each other everything Everything
I even went and bought her diamond rings, matching earrings
Everything was so cool So cool
Lately baby been acting so rude Been so rude
I don't know what somebody told you What they told you
But I ain't gon' lie, I miss the old you
I know you remember how I would hold you
Still remember how I approached you
I think I loved you fore I knew you
Know we be fucking fore I screwed you
Made a promise I won't use you
Play my cards right, I won't lose you
Got em tuned in like I'm YouTube
Got something on me like it's voodoo
I'll go nuts for you, go cuckoo, lose my cool and all
And I know that shit was wrong, I shouldn't've did what I did
Just wipe your eyes and stop this cryin'
I told the truth, that I'd been lyin'
I gave you racks, I tried to buy in
I even did the unthinkable, and I'm sorry for what I did to you
Take me back, if I was you and I did what I did
I probably would, I probably wouldn't
Take you back, if I was you and I did what I did
I probably would, I probably wouldn't
Just wipe your eyes and stop this cryin'
I told the truth, that I'd been lyin'
I gave you racks, I tried to buy in
I even did the unthinkable, and I'm sorry for what I did to you
We started off as close friends Close friends
Somehow you turned into my girlfriend My girlfriend
We used to tell each other everything Everything
I even went and bought her diamond rings, matching earrings
Everything was so cool So cool
Lately baby been acting so rude Been so rude
I don't know what somebody told you What they told you
But I ain't gon' lie, I miss the old you
Keep our business to ourselves
The internet ain't doing no help
I know I shouldn't've never left
But everything I did for us
And us, I'm speaking on my kids
Thinking bout this shit I did
Like how the hell I get myself involved in this bullshit?
Married to the game, I can't make you my fiancee
Bad young boss bitch, treat her like Beyonce
But damn what them broads say, I fucked them all the first day
And that's why you tripping anyway, like when I fuck em I don't pay
Even if we never speak again
I'll make sure you're riding in the latest Benz
Keep your business all apart if you can stay out of mine
Bought a brand new Audemars, but I done ran out of time
We started off as close friends Close friends
Somehow you turned into my girlfriend My girlfriend
We used to tell each other everything Everything
I even went and bought her diamond rings, matching earrings
Everything was so cool So cool
Lately baby been acting so rude Been so rude
I don't know what somebody told you What they told you
But I ain't gon' lie, I miss the old you
",
553,Kelsea Ballerini,Miss Me More,60,59,16,6/1/19,20-Oct-17,Country,"Leland, David hodges, Kelsea ballerini","Miss Me More 
I retired my red lipstick cause you said you didn't like it
I didn't wear my high heel shoes
'Cause I couldn't be taller than you
I didn't wanna lose my friends, but now it's hard to even find them
It's what you wanted, ain't it?
It's what you wanted
I thought I'd miss you When it ended
I thought it hurt me But it didn't
I thought I'd miss you
I thought I'd miss you
But I miss me more
I miss my own beat, to my own snare drum
I miss me more
Miss my own sheets in the bed I made up
I forgot I had dreams, I forgot I had wings
Forgot who I was before I ever kissed you
Yeah, I thought I'd miss you
But I miss me more I miss me more
I put on my old records that I hid in the back of the closet
And I turn them up to ten
And then I played them all again
I found my independence
Can't believe I ever lost it
What you wanted, ain't it?
It's what you wanted
I thought I'd miss you When it ended
I thought it hurt me But it didn't
I thought I'd miss you
Yeah, I thought I'd miss you
But I miss me more
I miss my own beat, to my own snare drum
I miss me more
Miss my own sheets in the bed I made up
I forgot I had dreams, I forgot I had wings
Forgot who I was before I ever kissed you
Yeah, I thought I'd miss you
But I miss me more I miss me more
I thought I'd miss you
I thought it hurt me
And I'd wanna kiss you
I thought I'd miss you
But I miss me more
I miss my own beat, to my own snare drum
I miss me more
Miss my own sheets in the bed I made up
I forgot I had dreams, I forgot I had wings
Forgot who I was before I ever kissed you
And I thought I'd miss you
But I miss me more
I miss me more
I miss me more
I miss me more
",
554,YNW Melly,Murder On My Mind,61,14,18,6/1/19,4-Mar-17,"Hip-Hop,Rap",Ynw melly,"Murder on My Mind 
Get to roll no...
Ayy, I'm in the studio, bro
Oh, nah, yeah, call me, ball me
Yeah, I'll bet
Yeah, I'm at the studio, hold up though
I ain't get to roll no weed, I ain't get to roll no Swishers
I was locked up on Christmas, ain't get to see my niggas
Ain't get to hug my mama, couldn't even give her no kisses
Can't even post on my Instagram cause these pussy niggas be snitching
Everybody acting suspicious, might probably say that I'm tripping
When I'm all alone in my jail cell, I tend to get in my feelings
And all I smoke is that loud, don't pass me no midget
And I'ma smoke all of my pain away cause that's the only thing that gon' heal it
I don't understand these women who go around pretending
As if they really fuck with me, so I love em all from a distance
'Cause the same bitch say she down to ride be the main one who tricking
Got Molly mixed with promethazine cause every time
I wake up in the morning, I got murder on my mind
AK-47's, MAC-11, Glocks, and nines
And all these pussy niggas hating, tryna knock me off my grind
But I can't let em do it, I got murder on my mind
Bitch, I got murder on my mind Bitch, I got murder on my mind
I got murder on my mind On my mind
I got murder on my mind I got murder on my mind
I got murder on my mind, I got murder on my mind
Yellow tape around his body, it's a fucking homicide
His face is on a T-shirt and his family traumatized
I didn't even mean to shoot him, he just caught me by surprise
I reloaded my pistol, cocked it back, and shot him twice
His body dropped down to the floor and he got teardrops in his eyes
He grabbed me by my hands and said he was afraid to die
I told him it's too late, my friend, it's time to say goodbye
And he died inside my arms, blood all on my shirt
Wake up in the morning, I got murder on my mind
AK-47's, MAC-11, Glocks, and nines
And all these pussy niggas hating, tryna knock me off my grind
But I can't let em do it, I got murder on my mind
Bitch, I got murder on my mind Bitch, I got murder on my mind
I got murder on my mind On my mind
I got murder on my mind
I got murder on my mind, I got murder on my mind
I got murder on my mind
Bite like tarantula, bitch, I'm an animal
Melly's a savage, no he not no amateur
Bad bitch named Angela, fucked her on camera
Bitch I'm a murderer Yeah, yeah
I might just kill the boy, don't wanna kill the boy
Bake him up, say he want beef, we gon' grill the boy
Grill the boy, we gonna grill the boy
I'm bleeding so good, I might dip his ass in it and spill the boy
Haha, murder on my mind, whoa, whoa
I got murder on my mind On my mind
I got murder on my mind, I got murder on my mind, huh
Wake up in the morning, I got murder on my mind
AK-47's, MAC-11, Glocks, and nines
And all these pussy niggas hating, tryna knock me off my grind
But I can't let em do it, I got murder on my mind
Bitch, I got murder on my mind
I got murder on my mind
I got murder on my mind
I got murder on my mind, I got murder on my mind
Murder on my mind
Whoa-oh-oh-oh
Young Nigga World, bitch
Whoa-oh-oh-oh
",
555,YK Osiris,Worth It,62,52,14,6/1/19,8-Feb-19,"Rap,East Coast,R&;B","Kiwi, Travis mills, Kim candilora jr, Taz taylor, Orlando woods jr, Melvin goggins jr, Yk osiris","Worth It 
I would give you the world, nah, nah, nah
You just gotta be worth it, yeah, yeah, yeah, yeah
I would give you the world, baby girl
You just gotta be worth it Oh, oh, oh
You don't gotta be perfect Mmh, mmh, mmh
You just gotta be worth it, yeah, yeah, yeah, yeah
I would give you the world, baby girl
You just gotta be worth it, yeah yeah
But you don't gotta be perfect Oh, oh, oh
You just gotta be worth it, yeah, yeah, yeah, nah, nah
Everybody doubted me, but girl, you stuck around
And you told me if I hold you you gon' hold me down
You don't gotta be perfect, you just gotta be worth it
Buying this and that, baby girl, you don't ever have to work again
Time is precious, baby girl, let's not let it go by
I just really wanna know, do you love me? Don't lie
I know you felt alone, huh, cause I been on the road, huh
But I been doing shows, I swear I ain't doing you wrong
Riding round through the city, yeah
Girl, you know you coming with me, yeah
I been a hundred out of fifty, girl
Ain't nobody messing with me, yeah
I don't really think they understand
Baby girl, I know you understand
I'm just tryna go feed my fam, hey-ey-ey, nah
I would give you the world, baby girl
You just gotta be worth it Oh, oh, oh
You don't gotta be perfect Mmh, mmh, mmh
You just gotta be worth it, yeah, yeah, yeah, yeah
I would give you the world, baby girl
You just gotta be worth it, yeah yeah
But you don't gotta be perfect Oh, oh, oh
You just gotta be worth it, yeah, yeah, yeah, nah, nah
Oh-whoa, whoa, nah nah nah
Nah nah nah
I would give you the world, baby girl
You just gotta be worth it Oh, oh, oh
You don't gotta be perfect Mmh, mmh, mmh
You just gotta be worth it, yeah, yeah, yeah, yeah
I would give you the world, baby girl
You just gotta be worth it, yeah yeah
But you don't gotta be perfect Oh, oh, oh
You just gotta be worth it, yeah, yeah, yeah, nah, nah
",
556,Lil Uzi Vert,Sanguine Paradise,63,28,6,6/1/19,9-Apr-19,"East Coast,Trap,Rap","Brandon finessin, Oogie mane, Lil uzi vert","Sanguine Paradise 
We be throwing money in a spiral
Every time your girl hear my song, yeah, turn her right into my ho
She shake her ass I'm working on dying, do the eye roll
Got a skinny thong like a tightrope
I be blowing up like some pyro
Coupe 150, call it Kyro
If she left with me, she the right ho
Man, she riding me like a BMX
Man, she said the D is for Dyno
I got two horns like a rhino
It's no way you could buy ho
But I bought a mansion with a slide door
Yes, I opened up the slide door
So you can hear her hit the high note
I like the way you Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
Money keep coming in, I can't lose
Money keep coming in, I can't lose
Foreign girls and they 10s, I can't choose
Foreign car got V10, I can't cruise
I got different color on my diamonds, I can't even see the time
I don't wanna see her face, I'ma go and get behind
Drop the top on the Wraith, I'ma make it lose its mind
I just made 100K, it was quicker than a Vine
I was swinging from a vine, tryna pull me down but I climb
I'ma get it, keep tryin', there's no reason for the cryin'
We the ones that be slidin', they the ones that be dyin'
Know my boys, they be riding and my doors suicide
Side note, you will never reach my goals At all
I be walking with a slime nose
And I'm also walking with my side ho
Only time I be walking when I'm on the moon, so I feel like Michael
I was talking to my little slime, that's a lil' lizard, call her Geico
In reality, I'm 5'4""
Stand on my money, now I'm 6'6""
Hit her once, now she dismissed
Can't fuck her sister, make her lick dick
Forty-orty make my hip thick
When I see an opp, make the clip hit
Aiming at his top, boy you need a mop
Man, I'm going out with a vengeance
My pants, Raf Simons
My shoes, Rick-Rick
Your girl dipped my tartar sauce so she ate my dick like a fish stick
Hit it raw, yes, I am a dog, I don't do this shit for no image
All my diamonds, they be hitting hard
Try to play me boy, that's a scrimmage
I got different color on my diamonds, I can't even see the time
I don't wanna see her face, I'ma go and get behind
Drop the top on the Wraith, I'ma make it lose its mind
I just made 100K, it was quicker than a Vine
I was swinging from a vine, tryna pull me down but I climb
I'ma get it, keep tryin', there's no reason for the cryin'
We the ones that be slidin', they the ones that be dyin'
Know my boys, they be riding and my doors suicide
Live it up, you can just go any day now
Mykko Montana, this beat is from K Camp
Got frost on my diamonds, I'm getting the cake now
Now stay on your stomach, lil' bitch, when you lay down
Live it up, cause you can go any day now
Mykko Montana, this beat is from K Camp
Frost on my diamonds cause I got the cake now
When you on your stomach, lil' bitch, better lay down
I'm so up and I can't turn it down
They counted me out, my whole life turned around
Clean up my diamonds, you know I got rinse it
Know my boys comin', you know they mean business
That advance that you waiting for, already spent it
When I'm on the beat man, you know I'm gon' kill it
We be throwing money in a spiral
Every time your girl hear my song, yeah, turn her right into my ho
She shake her ass, do the eye roll
Got a skinny thong like a tightrope
I be blowing up like some pyro
Coupe 150, call it Kyro
I got different color on my diamonds, I can't even see the time
I don't wanna see her face, I'ma go and get behind
Drop the top on the Wraith, I'ma make it lose its mind
I just made 100K, it was quicker than a Vine
I was swinging from a vine, tryna pull me down but I climb
I'ma get it, keep tryin', there's no reason for the cryin'
We the ones that be slidin', they the ones that be dyin'
Know my boys, they be riding and my doors suicide
I like the way you Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
",
557,Yo Gotti,Put A Date On It,64,46,17,6/1/19,25-Jan-19,Rap,"Lil baby, Yo gotti","Put a Date on It 
June you're a genius
Yuh
Sack coming in and the money don't fold Fold
Gotta put a stamp on it Stamp on it
Just hit a play, scrape it off the plate Skrrt
Gotta put the cap on it Cap on it
Pussy ass nigga always talking that tough shit
Nigga, put a date on it Date on it
Everybody sitting at the table round here, yeah
There's a lot of plates on it
Running through the money and the bitch keep callin'
Hold up, she gon' have to wait on it Wait on it
VVS diamond dripping over my T-shirt
Reach for it, I'ma put your face on it
Rolls Royce truck on the way, cashed out for it Cash
Still had to wait on it Wait on it
Plug fucked around, sent the wrong damn kind Bullshit
Nigga still had to pay for it Hah
Pack coming in on I-40 Woo
I'ma keep a 30 in my 40 Slatt
I'ma buy a Birkin for my shawty Pew
Nigga did me dirty, ran off on me Took off
Plug did me dirty, took off on me Pew
Lil' hitter just folded, got soft on me
I'm from the streets, you gotta pay with your life, I got a way with the white
You just like your father and he was a rat, uh
So that mean he raising a mice, yeah
I had to trap through the night, yeah
I put that pack on a flight, yeah
I shot all them pussies the same night Brrrrt
Laid in the bushes, a rainy night
Won't put no hoes on a pedestal
Edibles, I'm tryna fuck em the same night
I put two hoes on the same flight Whew
Cooked up two bricks in the same pot Work
I shot four niggas, the same Glock Bop, bop, bop
Too many you niggas got the same watch
Why you competing with me, nigga?
We are not playing with the same check
It's murder, more murder for hire
And that shit been stuck on my mindset
Sack coming in and the money don't fold Fold
Gotta put a stamp on it Stamp on it
Just hit a play, scrape it off the plate Skrrt
Gotta put the cap on it Cap on it
Pussy ass nigga always talking that tough shit
Nigga, put a date on it Date on it
Everybody sitting at the table round here, yeah
There's a lot of plates on it
Running through the money and the bitch keep callin'
Hold up, she gon' have to wait on it Wait on it
VVS diamond dripping over my T-shirt
Reach for it, I'ma put your face on it
Rolls Royce truck on the way, cashed out for it Cash
Still had to wait on it Wait on it
Plug fucked around, sent the wrong damn kind Bullshit
Nigga still had to pay for it Hah
Hundred thousand dollars off a iPhone iPhone
I ain't talking show money Show money
Plug keep calling, we gon' take his ass down Hold up
That'll be some more money More money
Labels talking contracts, I ain't signing shit Nope
Tell em that I know money Know money
I used to shop with a bitch, she got em low
She kept it realer than niggas
If she get a number better than these bookings I'm gettin'
I swear that I'm flooding the city
A rap nigga better not diss me cause I run with hitters
Everywhere that I go, they with me
Pack coming in on a back street Back street
12 ride by, nigga still keep workin'
Get 50 thousand dollars for a show
Knowing goddamn well niggas still ain't workin'
I been told these folks I quit I quit
Knowing goddamn well nigga still sipping syrup
Got the trap going crazy like the first and the third
Got a lot of cash money, I could still get birds
Get away with my chain, he gon' still get murked
Had an FN on me when I did this verse
If she suck good dick, she gon' leave with a purse
I was really in the streets, you can do your research
Sack coming in and the money don't fold Fold
Gotta put a stamp on it Stamp on it
Just hit a play, scrape it off the plate Skrrt
Gotta put the cap on it Cap on it
Pussy ass nigga always talking that tough shit
Nigga, put a date on it Date on it
Everybody sitting at the table round here, yeah
There's a lot of plates on it
Running through the money and the bitch keep callin'
Hold up, she gon' have to wait on it Wait on it
VVS diamond dripping over my T-shirt
Reach for it, I'ma put your face on it
Rolls Royce truck on the way, cashed out for it Cash
Still had to wait on it Wait on it
Plug fucked around, sent the wrong damn kind Bullshit
Nigga still had to pay for it Hah
",Lil Baby
558,"Tyler, The Creator",Running Out Of Time,65,NA,NA,6/1/19,17-May-19,"Rap,Neo Soul,Alternative R&;B,R&;B,Experimental,Alternative,West Coast",Tyler the creator,"RUNNING OUT OF TIME 
Running out of time, running out of time, running out of time
Running out of time to make you love me
Running out of time, running out of time
To make you love me
Secrets
Oh, you spin my head around Oh, you spin my head around
I been looking for it For it, for it
I been running out of spells
To make you love me
Secrets
Keep it up
To make you love me Ah
Wade in your water Wade in your water
Your waves wash over me
I drift to the deep end
Don't save, don't save, don't save
It's a low tide I'll be fine
I found peace in drownin'
Running out of time, runnin out of time, running out of time
Running out of time to make you love me
Living in pretend
Keep it a buck fifty, fuck
Are you living in pretend?
Are you–
So
Take your mask off
I need her out the picture Wade in your water
Take your mask off Yeah
Stop lying for these niggas
Stop lying to yourself
I know the real you
Don't save, don't save, don't save
Halloween ain't for a minute, lose the costume
You need to chill, okay
Been running from the targets and em back in the day
And now they working their all, another track out the DAW
Acting a fool, acting a ball, we packing the park, yeah
But I'm still runnin'
Out of time
Of time, of time
Running outta
Of time
Still running outta
Of time
Still running outta time
Time
Yeah
",
